Instancias,CPUvirtual,Memoria,PrecioHora
ml.t3.medium,2,4 GiB,"0,05 USD"
ml.t3.large,2,8 GiB,"0,10 USD"
ml.t3.xlarge,4,16 GiB,"0,20 USD"
ml.t3.2xlarge,8,32 GiB,"0,399 USD"
ml.m5.large,2,8 GiB,"0,115 USD"
ml.m5.xlarge,4,16 GiB,"0,23 USD"
ml.m5.2xlarge,8,32 GiB,"0,461 USD"
ml.m5.4xlarge,16,64 GiB,"0,922 USD"
ml.m5.8xlarge,32,128 GiB,"1,843 USD"
ml.m5.12xlarge,48,192 GiB,"2,765 USD"
ml.m5.16xlarge,64,256 GiB,"3,686 USD"
ml.m5.24xlarge,96,384 GiB,"5,53 USD"
ml.m5d.large,2,8 GiB,"0,136 USD"
ml.m5d.xlarge,4,16 GiB,"0,271 USD"
ml.m5d.2xlarge,8,32 GiB,"0,542 USD"
ml.m5d.4xlarge,16,64 GiB,"1,085 USD"
ml.m5d.8xlarge,32,128 GiB,"2,17 USD"
ml.m5d.12xlarge,48,192 GiB,"3,254 USD"
ml.m5d.16xlarge,64,256 GiB,"4,339 USD"
ml.m5d.24xlarge,96,384 GiB,"6,509 USD"
ml.c5.large,2,4 GiB,"0,102 USD"
ml.c5.xlarge,4,8 GiB,"0,204 USD"
ml.c5.2xlarge,8,16 GiB,"0,408 USD"
ml.c5.4xlarge,16,32 GiB,"0,816 USD"
ml.c5.9xlarge,36,72 GiB,"1,836 USD"
ml.c5.12xlarge,48,96 GiB,"2,448 USD"
ml.c5.18xlarge,72,144 GiB,"3,672 USD"
ml.r5.large,2,16 GiB,"0,151 USD"
ml.r5.xlarge,4,32 GiB,"0,302 USD"
ml.r5.2xlarge,8,64 GiB,"0,605 USD"
ml.r5.4xlarge,16,128 GiB,"1,21 USD"
ml.r5.8xlarge,32,256 GiB,"2,419 USD"
ml.r5.12xlarge,48,384 GiB,"3,629 USD"
ml.r5.16xlarge,64,512 GiB,"4,838 USD"
ml.r5.24xlarge,96,768 GiB,"7,258 USD"
ml.p3.2xlarge,8,61 GiB,"3,825 USD"
ml.p3.8xlarge,32,244 GiB,"14,688 USD"
ml.p3.16xlarge,64,488 GiB,"28,152 USD"
ml.g4dn.xlarge,4,16 GiB,"0,7364 USD"
ml.g4dn.2xlarge,8,32 GiB,"0,94 USD"
ml.g4dn.4xlarge,16,64 GiB,"1,505 USD"
ml.g4dn.8xlarge,32,128 GiB,"2,72 USD"
ml.g4dn.12xlarge,48,192 GiB,"4,89 USD"
ml.g4dn.16xlarge,64,256 GiB,"5,44 USD"
ml.trn1.2xlarge,8,32 GiB,"1,54 USD"
ml.trn1.32xlarge,128,512 GiB,"24,73 USD"
ml.trn1n.32xlarge,128,512 GiB,"28,50 USD"